geometry,id,S_US_Inundation_Ar,S_DS_Inundation_Ar,S_Lev_Inundation_Ar,S_Inc_Flood_Scen_Ar,dist_to_S_Levee_Ln,dist_to_S_RM_Dams_Pt,elevation_m,longitude,latitude
POINT (-77.92599999999983 34.190999999999995),154,False,False,False,False,1000000.0,1000000.0,0,-77.92599999999983,34.190999999999995
POINT (-77.92499999999983 34.190999999999995),155,False,False,False,False,1000000.0,1000000.0,0,-77.92499999999983,34.190999999999995
POINT (-77.92399999999982 34.190999999999995),156,False,False,False,False,1000000.0,1000000.0,0,-77.92399999999982,34.190999999999995
POINT (-77.92299999999982 34.190999999999995),157,False,False,False,False,1000000.0,1000000.0,0,-77.92299999999982,34.190999999999995
POINT (-77.92199999999981 34.190999999999995),158,False,False,False,False,1000000.0,1000000.0,0,-77.92199999999981,34.190999999999995
POINT (-77.92099999999981 34.190999999999995),159,False,False,False,False,1000000.0,1000000.0,0,-77.92099999999981,34.190999999999995
POINT (-77.9199999999998 34.190999999999995),160,False,False,False,False,1000000.0,1000000.0,0,-77.9199999999998,34.190999999999995
POINT (-77.9189999999998 34.190999999999995),161,False,False,False,False,1000000.0,1000000.0,0,-77.9189999999998,34.190999999999995
POINT (-77.9179999999998 34.190999999999995),162,False,False,False,False,1000000.0,1000000.0,0,-77.9179999999998,34.190999999999995
POINT (-77.91699999999979 34.190999999999995),163,False,False,False,False,1000000.0,1000000.0,0,-77.91699999999979,34.190999999999995
POINT (-77.91599999999978 34.190999999999995),164,False,False,False,False,1000000.0,1000000.0,0,-77.91599999999978,34.190999999999995
POINT (-77.91499999999978 34.190999999999995),165,False,False,False,False,1000000.0,1000000.0,0,-77.91499999999978,34.190999999999995
POINT (-77.91399999999977 34.190999999999995),166,False,False,False,False,1000000.0,1000000.0,0,-77.91399999999977,34.190999999999995
POINT (-77.91299999999977 34.190999999999995),167,False,False,False,False,1000000.0,1000000.0,0,-77.91299999999977,34.190999999999995
POINT (-77.91199999999976 34.190999999999995),168,False,False,False,False,1000000.0,1000000.0,0,-77.91199999999976,34.190999999999995
POINT (-77.91099999999976 34.190999999999995),169,False,False,False,False,1000000.0,1000000.0,0,-77.91099999999976,34.190999999999995
POINT (-77.90999999999976 34.190999999999995),170,False,False,False,False,1000000.0,1000000.0,0,-77.90999999999976,34.190999999999995
POINT (-77.90899999999975 34.190999999999995),171,False,False,False,False,1000000.0,1000000.0,0,-77.90899999999975,34.190999999999995
POINT (-77.90799999999975 34.190999999999995),172,False,False,False,False,1000000.0,1000000.0,0,-77.90799999999975,34.190999999999995
POINT (-77.90699999999974 34.190999999999995),173,False,False,False,False,1000000.0,1000000.0,0,-77.90699999999974,34.190999999999995
POINT (-77.90599999999974 34.190999999999995),174,False,False,False,False,1000000.0,1000000.0,0,-77.90599999999974,34.190999999999995
POINT (-77.90499999999973 34.190999999999995),175,False,False,False,False,1000000.0,1000000.0,0,-77.90499999999973,34.190999999999995
POINT (-77.90399999999973 34.190999999999995),176,False,False,False,False,1000000.0,1000000.0,0,-77.90399999999973,34.190999999999995
POINT (-77.90299999999972 34.190999999999995),177,False,False,False,False,1000000.0,1000000.0,0,-77.90299999999972,34.190999999999995
POINT (-77.90199999999972 34.190999999999995),178,False,False,False,False,1000000.0,1000000.0,0,-77.90199999999972,34.190999999999995
POINT (-77.90099999999971 34.190999999999995),179,False,False,False,False,1000000.0,1000000.0,0,-77.90099999999971,34.190999999999995
POINT (-77.89999999999971 34.190999999999995),180,False,False,False,False,1000000.0,1000000.0,0,-77.89999999999971,34.190999999999995
POINT (-77.8989999999997 34.190999999999995),181,False,False,False,False,1000000.0,1000000.0,0,-77.8989999999997,34.190999999999995
POINT (-77.8979999999997 34.190999999999995),182,False,False,False,False,1000000.0,1000000.0,0,-77.8979999999997,34.190999999999995
POINT (-77.8969999999997 34.190999999999995),183,False,False,False,False,1000000.0,1000000.0,0,-77.8969999999997,34.190999999999995
POINT (-77.89599999999969 34.190999999999995),184,False,False,False,False,1000000.0,1000000.0,0,-77.89599999999969,34.190999999999995
POINT (-77.89499999999968 34.190999999999995),185,False,False,False,False,1000000.0,1000000.0,0,-77.89499999999968,34.190999999999995
POINT (-77.89399999999968 34.190999999999995),186,False,False,False,False,1000000.0,1000000.0,0,-77.89399999999968,34.190999999999995
POINT (-77.89299999999967 34.190999999999995),187,False,False,False,False,1000000.0,1000000.0,0,-77.89299999999967,34.190999999999995
POINT (-77.89199999999967 34.190999999999995),188,False,False,False,False,1000000.0,1000000.0,0,-77.89199999999967,34.190999999999995
POINT (-77.89099999999966 34.190999999999995),189,False,False,False,False,1000000.0,1000000.0,0,-77.89099999999966,34.190999999999995
POINT (-77.88999999999966 34.190999999999995),190,False,False,False,False,1000000.0,1000000.0,0,-77.88999999999966,34.190999999999995
POINT (-77.88899999999965 34.190999999999995),191,False,False,False,False,1000000.0,1000000.0,0,-77.88899999999965,34.190999999999995
POINT (-77.88799999999965 34.190999999999995),192,False,False,False,False,1000000.0,1000000.0,0,-77.88799999999965,34.190999999999995
POINT (-77.88699999999965 34.190999999999995),193,False,False,False,False,1000000.0,1000000.0,0,-77.88699999999965,34.190999999999995
POINT (-77.88599999999964 34.190999999999995),194,False,False,False,False,1000000.0,1000000.0,0,-77.88599999999964,34.190999999999995
POINT (-77.88499999999964 34.190999999999995),195,False,False,False,False,1000000.0,1000000.0,0,-77.88499999999964,34.190999999999995
POINT (-77.88399999999963 34.190999999999995),196,False,False,False,False,1000000.0,1000000.0,0,-77.88399999999963,34.190999999999995
POINT (-77.88299999999963 34.190999999999995),197,False,False,False,False,1000000.0,1000000.0,0,-77.88299999999963,34.190999999999995
POINT (-77.88199999999962 34.190999999999995),198,False,False,False,False,1000000.0,1000000.0,0,-77.88199999999962,34.190999999999995
POINT (-77.88099999999962 34.190999999999995),199,False,False,False,False,1000000.0,1000000.0,0,-77.88099999999962,34.190999999999995
POINT (-77.87999999999961 34.190999999999995),200,False,False,False,False,1000000.0,1000000.0,0,-77.87999999999961,34.190999999999995
POINT (-77.8789999999996 34.190999999999995),201,False,False,False,False,1000000.0,1000000.0,0,-77.8789999999996,34.190999999999995
POINT (-77.8779999999996 34.190999999999995),202,False,False,False,False,1000000.0,1000000.0,0,-77.8779999999996,34.190999999999995
POINT (-77.8769999999996 34.190999999999995),203,False,False,False,False,1000000.0,1000000.0,0,-77.8769999999996,34.190999999999995
POINT (-77.87599999999959 34.190999999999995),204,False,False,False,False,1000000.0,1000000.0,0,-77.87599999999959,34.190999999999995
POINT (-77.87499999999959 34.190999999999995),205,False,False,False,False,1000000.0,1000000.0,0,-77.87499999999959,34.190999999999995
POINT (-77.87399999999958 34.190999999999995),206,False,False,False,False,1000000.0,1000000.0,0,-77.87399999999958,34.190999999999995
